asset_path,usage_count,referenced_by,target_origin,status
"/manus-storage/cabin-board-singapore-airlines_4b8c0492.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-srilankan-airlines-v2_211b1fe2.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-starlux-airlines_be1d961b.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-swiss-international-air-lines-v2_8bf16326.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-thai-airways_97ceb6df.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-turkish-airlines_7c177901.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-united-airlines_181d4bc6.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-vietjet-air_434afbc3.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-vietnam-airlines_f5ea802c.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-vietravel-airlines_d2a7c877.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-xiamenair-v2_6a66f5a4.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cathay-pacific-logo_52395503_51733108.png","1","app/AirlineDirectory.tsx","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cebu-pacific-logo_8a314d5d_02eb00bb.png","1","app/AirlineDirectory.tsx","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
