source_url,source_path,clicks,impressions,ctr,position,mapping_defined,mapped_target,http_status,runtime_target,mapping_status,query_count,top_queries
"https://khangvuongbooking.com/vietnam-airlines-mien-phi-hanh-ly-ky-gui-23kg-cho-ve-pho-thong/","/vietnam-airlines-mien-phi-hanh-ly-ky-gui-23kg-cho-ve-pho-thong","0","2","0","8","true","/mua-them-hanh-ly-vietnam-airlines","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/di-du-lich-cung-singapore-airlines-khong-ton-kem-ve-khu-hoi-chi-tu-146-usd/","/di-du-lich-cung-singapore-airlines-khong-ton-kem-ve-khu-hoi-chi-tu-146-usd","0","2","0","8.5","true","/hang-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/mua-ve-may-bay-di-ha-noi-khu-hoi/","/tag/mua-ve-may-bay-di-ha-noi-khu-hoi","0","2","0","8.5","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/san-ve-may-bay-gia-re-cua-vietjet-air/","/tag/san-ve-may-bay-gia-re-cua-vietjet-air","0","2","0","8.5","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/ve-jetstar-0-dong/","/tag/ve-jetstar-0-dong","0","2","0","8.5","true","/cam-nang-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/uu-dai-bay-cung-qatar-airways-gia-sieu-re-chi-tu-3400000d-khu-hoi/","/uu-dai-bay-cung-qatar-airways-gia-sieu-re-chi-tu-3400000d-khu-hoi","0","2","0","8.5","true","/khuyen-mai","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/chi-tu-90-usd-hanh-trinh-ha-noi-di-manila-ve-mot-chieu/","/chi-tu-90-usd-hanh-trinh-ha-noi-di-manila-ve-mot-chieu","0","2","0","9","true","/cam-nang-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/giam-gia-cuc-sau-ve-emirates-di-chau-au-chi-tu-14229000d-khu-hoi/","/giam-gia-cuc-sau-ve-emirates-di-chau-au-chi-tu-14229000d-khu-hoi","0","2","0","9","true","/khuyen-mai","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/dat-ve-may-bay-di-da-lat/","/tag/dat-ve-may-bay-di-da-lat","0","2","0","9","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/dat-ve-may-bay-di-han-quoc-bao-nhieu-tien/","/tag/dat-ve-may-bay-di-han-quoc-bao-nhieu-tien","0","2","0","9","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/mua-ve-may-bay-di-trung-quoc-bao-nhieu-tien/","/tag/mua-ve-may-bay-di-trung-quoc-bao-nhieu-tien","0","2","0","9","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/tag/ve-may-bay-di-dai-loan-gia-re/","/tag/ve-may-bay-di-dai-loan-gia-re","0","2","0","9","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/ve-may-bay-gia-re/","/ve-may-bay-gia-re","0","2","0","9","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/ve-tiger-air-uu-dai-kham-pha-singapore-dau-nam-chi-tu-34-usd/","/ve-tiger-air-uu-dai-kham-pha-singapore-dau-nam-chi-tu-34-usd","0","2","0","9","true","/khuyen-mai","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/bamboo-airways-khuyen-mai-mung-ngay-thanh-lap-doan-chi-tu-26-000-vnd/","/bamboo-airways-khuyen-mai-mung-ngay-thanh-lap-doan-chi-tu-26-000-vnd","0","2","0","9.5","true","/khuyen-mai","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/ban-co-muon-trai-nghiem-thien-duong-nghi-duong-hang-dau-nhat-ban/","/ban-co-muon-trai-nghiem-thien-duong-nghi-duong-hang-dau-nhat-ban","0","2","0","9.5","true","/hang-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/dat-mua-ve-may-bay-japan-airlines-di-san-francisco/","/dat-mua-ve-may-bay-japan-airlines-di-san-francisco","0","2","0","9.5","true","/ve-may-bay","0","","mapping_defined_unverified","0",""
"https://khangvuongbooking.com/kham-pha-bangkok-cung-ve-nok-air-mot-chieu-sieu-re-chi-tu-36-usd/","/kham-pha-bangkok-cung-ve-nok-air-mot-chieu-sieu-re-chi-tu-36-usd","0","2","0","9.5","true","/cam-nang-bay","0","","mapping_defined_unverified","0",""
